DJ|Playlists|X|Y
Surface Noise|http://wfmu.org/playlists/SN|  2.858003| -2.650218
Three Chord Monte|http://wfmu.org/playlists/TM|  2.404107|  0.814311
Scott Williams|http://wfmu.org/playlists/SW|  2.871772| -2.185923
The Goddamn Dave Hill Show|http://wfmu.org/playlists/GS| -0.206416|  0.630139
The Frow Show|http://wfmu.org/playlists/JJ|  1.356970| -0.215223
Samantha|http://wfmu.org/playlists/AG|  2.404427| -1.852605
100% Whatever|http://wfmu.org/playlists/MY|  0.153559| -0.995506
Garbage Time|http://wfmu.org/playlists/GT|  2.536408| -1.780553
Liz Berg|http://wfmu.org/playlists/LB|  3.215627| -1.499653
Brian Turner|http://wfmu.org/playlists/BT|  3.880977| -0.955212
Morricone Island|http://wfmu.org/playlists/PE| -0.959770|  0.072926
A440 / Stochastic Hit Parade|http://wfmu.org/playlists/HP| -4.029890| -0.828080
Irene Trudel|http://wfmu.org/playlists/IT|  2.548935|  2.746792
Wm. Berger presents My Castle of Quiet|http://wfmu.org/playlists/WB| -1.035576| -1.920773
The John Allen Show|http://wfmu.org/playlists/JA|  2.096640| -0.476395
Ken|http://wfmu.org/playlists/KF| -2.074182| -0.212252
Duane Train|http://wfmu.org/playlists/DH|  0.744244| -2.947073
Irwin Chusid|http://wfmu.org/playlists/IC|  0.522156|  3.882523
Honky Tonk Radio Girl|http://wfmu.org/playlists/HG|  0.640166|  2.506563
The Evan "Funk" Davies Show|http://wfmu.org/playlists/ED|  2.597341| -0.055786
Nickel and Dime Radio|http://wfmu.org/playlists/ND|  0.266770| -2.922852
Champ Sound|http://wfmu.org/playlists/CD| -0.290246| -1.765209
The Long Rally|http://wfmu.org/playlists/MD|  0.342373|  0.339859
This Is The Modern World|http://wfmu.org/playlists/LM|  1.997921| -2.617272
Imaginary Radio|http://wfmu.org/playlists/ID| -2.333140| -3.318582
Strength Through Failure|http://wfmu.org/playlists/FR| -1.503564| -0.783423
The Dusty Show|http://wfmu.org/playlists/CP| -0.277112| -0.412554
Sinner's Crossroads|http://wfmu.org/playlists/CR|  1.214340|  3.484555
Music To Spazz By|http://wfmu.org/playlists/MS|  1.186128|  1.852569
Nick Name|http://wfmu.org/playlists/NN|  2.697358| -1.602358
Stan|http://wfmu.org/playlists/SS| -3.447820| -1.501865
Micah|http://wfmu.org/playlists/CS|  3.416599|  1.916128
Marty McSorley|http://wfmu.org/playlists/BY|  0.392833| -1.388006
Bryce|http://wfmu.org/playlists/BK| -2.905233| -0.431329
Sophisticated Boom Boom|http://wfmu.org/playlists/CF|  1.725033| -2.972525
Put The Needle On The Record|http://wfmu.org/playlists/BJ| -2.073160|  3.856032
Downtown Soulville|http://wfmu.org/playlists/SV|  2.014062|  2.077285
Daniel Blumin|http://wfmu.org/playlists/DN| -1.190431| -2.392420
Inflatable Squirrel Carcass|http://wfmu.org/playlists/IS| -1.085784|  0.315180
Dance With Me, Stanley|http://wfmu.org/playlists/YN|  1.367508| -3.774703
Shrunken Planet|http://wfmu.org/playlists/SP|  2.964896|  2.220956
Bob Brainen|http://wfmu.org/playlists/BB|  1.209183|  1.011547
Michael Shelley|http://wfmu.org/playlists/SH|  0.150325|  1.741933
Fool's Paradise|http://wfmu.org/playlists/FP|  1.750113|  2.597461
Todd-o-phonic Todd|http://wfmu.org/playlists/TA|  1.695236|  1.169560
Transpacific Sound Paradise|http://wfmu.org/playlists/TP|  0.100053|  4.008651
Prove It All Night!|http://wfmu.org/playlists/RR|  1.657176| -0.721787
Rolling Motion|http://wfmu.org/playlists/SG|  0.332772| -2.168767
Burn It Down!|http://wfmu.org/playlists/NK|  2.487223| -0.670637
Hello Children|http://wfmu.org/playlists/HC|  3.091669| -0.773611
Gaylord Fields|http://wfmu.org/playlists/GF|  1.525131|  0.470219
